duration,protocol_type,service,flag,src_bytes,dst_bytes,class
0,udp,private,SF,28,0,teardrop
0,tcp,http,SF,220,1398,normal
0,udp,domain_u,SF,43,69,normal
0,udp,domain_u,SF,44,133,normal
0,icmp,eco_i,SF,8,0,nmap
0,tcp,uucp,S0,0,0,neptune
0,tcp,finger,S0,0,0,neptune
0,udp,domain_u,SF,43,43,normal
0,tcp,ftp_data,SF,641,0,normal
0,tcp,private,REJ,0,0,neptune
0,tcp,private,REJ,0,0,satan
0,tcp,http,SF,310,2794,normal
0,tcp,private,REJ,0,0,neptune
0,tcp,smtp,SF,696,333,normal
0,tcp,netbios_dgm,RSTR,0,0,portsweep
0,tcp,http,S0,0,0,neptune
0,tcp,netbios_dgm,REJ,0,0,neptune
0,tcp,supdup,S0,0,0,neptune
0,tcp,http,SF,221,2878,normal
0,tcp,private,S0,0,0,neptune
0,icmp,urp_i,SF,181,0,normal
0,udp,domain_u,SF,42,42,normal
0,tcp,private,S0,0,0,neptune
0,tcp,ftp_data,SF,12,0,normal
0,tcp,auth,S0,0,0,neptune
0,tcp,http,SF,210,2790,normal
0,tcp,http,SF,321,5683,normal
0,tcp,private,REJ,0,0,neptune
0,tcp,http,SF,329,3982,normal
0,tcp,uucp_path,REJ,0,0,neptune
0,tcp,domain,S0,0,0,neptune
0,icmp,eco_i,SF,8,0,ipsweep
0,tcp,http,SF,320,379,normal
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,225,3762,normal
0,tcp,ftp,S0,0,0,neptune
0,tcp,private,REJ,0,0,neptune
315,udp,other,SF,146,105,normal
0,tcp,http,SF,247,1416,normal
0,tcp,http,SF,353,1483,normal
0,udp,domain_u,SF,44,44,normal
0,tcp,private,REJ,0,0,neptune
0,tcp,csnet_ns,S0,0,0,neptune
2,tcp,smtp,SF,3065,331,normal
0,udp,other,SF,102,102,normal
0,tcp,http,SF,259,750,normal
1082,udp,other,SF,147,105,normal
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,0,354,normal
0,tcp,http,SF,309,306,normal
0,tcp,http,REJ,0,0,normal
0,tcp,http,SF,278,7227,normal
0,udp,private,SF,28,0,teardrop
0,tcp,http,SF,313,761,normal
0,tcp,http,SF,219,1212,normal
0,tcp,http,SF,245,9165,normal
0,tcp,http,SF,328,2243,normal
0,tcp,http,REJ,0,0,normal
0,tcp,http,SF,251,301,normal
0,tcp,smtp,SF,2089,335,normal
0,tcp,http,REJ,0,0,normal
0,tcp,http,SF,237,511,normal
0,tcp,http,SF,324,431,normal
25950,tcp,private,RSTR,1,0,portsweep
0,tcp,Z39_50,REJ,0,0,neptune
0,udp,private,SF,105,145,normal
0,tcp,http,SF,218,974,normal
0,tcp,http,SF,325,2649,normal
0,tcp,uucp_path,REJ,0,0,neptune
0,tcp,bgp,REJ,0,0,neptune
0,tcp,csnet_ns,S0,0,0,neptune
240,tcp,http,SF,328,275,normal
0,tcp,bgp,S0,0,0,neptune
0,tcp,finger,SF,9,138,normal
0,udp,domain_u,SF,46,46,normal
1,tcp,smtp,SF,1079,334,normal
0,udp,domain_u,SF,45,139,normal
26,tcp,ftp,SF,273,903,normal
0,tcp,private,S0,0,0,neptune
0,tcp,ldap,REJ,0,0,neptune
0,tcp,http,SF,237,138,normal
0,tcp,http,SF,225,1357,normal
0,tcp,private,S0,0,0,neptune
0,tcp,supdup,S0,0,0,neptune
0,udp,other,SF,147,0,normal
0,tcp,http,SF,262,1011,normal
0,icmp,ecr_i,SF,1032,0,smurf
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,261,8412,normal
0,tcp,bgp,REJ,0,0,neptune
0,tcp,netbios_dgm,REJ,0,0,neptune
0,tcp,http,SF,294,1719,normal
0,tcp,http,SF,221,981,normal
0,tcp,http,SF,284,10352,normal
0,tcp,gopher,SH,0,0,nmap
0,tcp,http,SF,309,16096,normal
0,tcp,ftp_data,SF,334,0,warezclient
0,tcp,telnet,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,214,283,normal
0,tcp,vmnet,S0,0,0,neptune
0,tcp,systat,S0,0,0,neptune
0,tcp,http_443,S0,0,0,neptune
0,udp,domain_u,SF,46,78,normal
0,tcp,ftp_data,SF,748,0,normal
0,tcp,efs,S0,0,0,neptune
0,icmp,eco_i,SF,8,0,ipsweep
0,tcp,whois,S0,0,0,neptune
0,tcp,http,SF,329,8437,normal
0,tcp,ftp_data,SF,9,0,normal
0,udp,domain_u,SF,46,128,normal
0,tcp,ftp_data,SF,1766,0,normal
0,tcp,remote_job,S0,0,0,neptune
9015,tcp,other,RSTR,1,0,portsweep
7,tcp,finger,SF,8,135,normal
0,tcp,http,SF,266,529,normal
0,tcp,ftp_data,SF,245,0,normal
0,tcp,http,SF,295,465,normal
0,tcp,gopher,S0,0,0,neptune
0,tcp,http,SF,228,6834,normal
0,icmp,ecr_i,SF,1032,0,smurf
0,tcp,imap4,REJ,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,whois,S0,0,0,neptune
0,tcp,http,REJ,0,0,normal
0,tcp,other,REJ,0,0,satan
0,udp,other,SF,1,0,satan
0,tcp,iso_tsap,S0,0,0,neptune
0,icmp,ecr_i,SF,30,0,normal
1,tcp,smtp,SF,2078,333,normal
0,tcp,ftp_data,SF,19,0,normal
0,tcp,smtp,SF,661,329,normal
0,udp,private,SF,28,0,teardrop
0,tcp,ftp_data,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,smtp,SF,1075,364,normal
0,tcp,http,SF,223,656,normal
15159,tcp,ftp,SF,350,1185,warezclient
0,tcp,http,SF,233,2470,normal
0,tcp,private,S0,0,0,neptune
0,tcp,echo,S0,0,0,neptune
0,tcp,http,SF,201,1938,normal
0,tcp,http,SF,271,4781,normal
0,tcp,ftp_data,SF,14416,0,normal
0,tcp,http,SF,227,11564,normal
0,tcp,private,REJ,0,0,portsweep
0,tcp,http,SF,225,2445,normal
0,tcp,http,SF,176,426,normal
0,tcp,klogin,S0,0,0,neptune
0,tcp,http,SF,227,762,normal
0,tcp,smtp,SF,855,575,normal
0,tcp,smtp,SF,944,330,normal
0,tcp,smtp,SF,954,326,normal
0,tcp,uucp_path,S0,0,0,neptune
0,tcp,http,SF,166,34660,normal
0,tcp,http,SF,306,2698,normal
0,tcp,netbios_ns,S0,0,0,neptune
0,tcp,private,REJ,0,0,satan
0,icmp,ecr_i,SF,1480,0,pod
0,tcp,iso_tsap,S0,0,0,neptune
0,tcp,http,SF,313,8549,normal
0,tcp,link,S0,0,0,neptune
0,tcp,sunrpc,S0,0,0,neptune
0,tcp,http,SF,285,6008,normal
0,tcp,http,SF,226,1411,normal
0,tcp,http,SF,256,12984,normal
1,tcp,smtp,SF,3740,449,normal
0,tcp,http,SF,224,449,normal
0,tcp,login,S0,0,0,neptune
4,tcp,ftp_data,SF,832,0,warezclient
0,tcp,finger,S0,0,0,neptune
0,icmp,eco_i,SF,8,0,ipsweep
0,tcp,http,SF,201,169,normal
0,tcp,http,SF,285,304,normal
0,tcp,kshell,S0,0,0,neptune
0,tcp,ftp_data,SF,7422,0,normal
0,tcp,http,SF,198,12884,normal
20,tcp,smtp,SF,2310,328,normal
0,tcp,http,SF,331,955,normal
0,icmp,urp_i,SF,65,0,normal
0,udp,private,SF,28,0,teardrop
0,udp,domain_u,SF,45,77,normal
0,tcp,ftp,RSTO,0,0,neptune
0,tcp,auth,S0,0,0,neptune
0,tcp,kshell,S0,0,0,neptune
0,tcp,finger,SF,9,142,normal
0,tcp,http,SF,283,912,normal
0,tcp,http,SF,221,1789,normal
0,icmp,eco_i,SF,18,0,ipsweep
0,tcp,vmnet,S0,0,0,neptune
0,tcp,telnet,S0,0,0,neptune
0,tcp,ftp_data,S0,0,0,neptune
0,tcp,http,SF,302,1380,normal
0,tcp,private,S0,0,0,neptune
0,icmp,eco_i,SF,8,0,ipsweep
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,355,870,normal
0,icmp,eco_i,SF,8,0,ipsweep
18,tcp,telnet,SF,106,1468,normal
0,tcp,http,SF,286,1423,normal
9235,tcp,other,RSTR,1,0,portsweep
0,tcp,sql_net,SH,0,0,nmap
0,icmp,ecr_i,SF,1032,0,smurf
0,tcp,http,SF,168,9551,normal
0,tcp,http,SF,238,864,normal
0,tcp,private,RSTR,0,0,portsweep
0,tcp,http,SF,291,10369,normal
0,tcp,vmnet,S0,0,0,neptune
0,tcp,smtp,SF,749,330,normal
0,tcp,http,SF,198,6924,normal
0,tcp,mtp,REJ,0,0,neptune
0,tcp,http,SF,167,709,normal
0,tcp,http,SF,241,851,normal
0,tcp,http,SF,337,3360,normal
0,tcp,smtp,SF,729,328,normal
0,icmp,eco_i,SF,8,0,ipsweep
0,tcp,csnet_ns,S0,0,0,neptune
0,tcp,http,SF,222,1483,normal
0,tcp,auth,REJ,0,0,neptune
0,tcp,http,REJ,0,0,normal
0,udp,domain_u,SF,46,134,normal
0,tcp,http,SF,246,2719,normal
0,tcp,http,SF,222,771,normal
0,tcp,vmnet,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
409,tcp,telnet,SF,279,9598,normal
0,tcp,http,SF,226,651,normal
0,tcp,http,SF,299,447,normal
0,tcp,http,S0,0,0,neptune
0,tcp,ftp_data,SF,12,0,normal
0,tcp,http,SF,281,1951,normal
0,tcp,bgp,S0,0,0,neptune
0,udp,domain_u,SF,42,42,normal
0,tcp,ftp,S0,0,0,neptune
0,tcp,time,S0,0,0,neptune
0,tcp,http,SF,263,453,normal
36613,tcp,private,RSTR,1,0,portsweep
0,tcp,ftp,RSTO,0,0,normal
0,tcp,private,S0,0,0,neptune
0,tcp,sql_net,S0,0,0,neptune
0,tcp,http,SF,283,1980,normal
0,tcp,http,SF,161,5530,normal
0,tcp,http,SF,211,321,normal
0,tcp,http,SF,201,1701,normal
0,icmp,eco_i,SF,8,0,nmap
0,udp,other,SF,147,0,normal
0,tcp,private,S0,0,0,neptune
0,tcp,ftp_data,SF,567,0,normal
0,tcp,hostnames,REJ,0,0,neptune
0,tcp,telnet,S0,0,0,neptune
5043,tcp,ftp_data,SF,5131424,0,warezclient
0,tcp,http,SF,320,420,normal
0,icmp,eco_i,SF,8,0,ipsweep
0,tcp,smtp,S0,0,0,normal
0,tcp,http,SF,204,1229,normal
0,tcp,time,RSTR,0,0,portsweep
0,tcp,ftp_data,SF,10389,0,normal
0,tcp,uucp,S0,0,0,neptune
0,tcp,http,SF,344,573,normal
0,tcp,exec,RSTO,0,0,neptune
0,tcp,netbios_dgm,S0,0,0,neptune
0,tcp,http,SF,243,821,normal
0,icmp,ecr_i,SF,1032,0,smurf
0,icmp,eco_i,SF,8,0,ipsweep
0,tcp,private,REJ,0,0,satan
0,udp,private,SF,105,146,normal
0,tcp,private,S0,0,0,neptune
1,tcp,smtp,SF,1080,327,normal
0,tcp,telnet,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,Z39_50,S0,0,0,neptune
0,tcp,smtp,SF,657,326,normal
0,tcp,http_443,S0,0,0,neptune
0,tcp,http,SF,284,765,normal
0,tcp,http,SF,261,15455,normal
0,tcp,http,SF,317,315,normal
0,udp,domain_u,SF,33,0,normal
0,tcp,private,REJ,0,0,portsweep
0,tcp,private,RSTR,0,0,portsweep
0,udp,domain_u,SF,44,70,normal
0,tcp,http,SF,215,584,normal
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,332,2844,normal
1,tcp,smtp,SF,978,334,normal
0,tcp,http,SF,296,5670,normal
0,tcp,telnet,S0,0,0,neptune
0,tcp,private,REJ,0,0,neptune
0,tcp,http,SF,214,9986,normal
0,tcp,private,S0,0,0,neptune
0,udp,ntp_u,SF,48,48,normal
0,tcp,http,SF,226,1301,normal
0,tcp,bgp,S0,0,0,neptune
0,icmp,urp_i,SF,78,0,normal
0,tcp,private,S0,0,0,neptune
0,tcp,http,REJ,0,0,normal
0,tcp,discard,S0,0,0,neptune
0,tcp,private,REJ,0,0,ipsweep
0,tcp,private,REJ,0,0,portsweep
0,tcp,http,SF,294,3327,normal
0,tcp,supdup,S0,0,0,neptune
0,tcp,http,SF,220,1249,normal
0,tcp,other,REJ,0,0,satan
0,tcp,http,SF,196,3282,normal
0,tcp,http,S0,0,0,neptune
0,tcp,http,SF,327,4482,normal
0,tcp,uucp_path,REJ,0,0,neptune
0,tcp,ftp_data,SF,319,0,normal
0,tcp,smtp,SF,1087,302,normal
0,tcp,http,SF,210,3754,normal
0,tcp,sql_net,S0,0,0,neptune
0,tcp,http,REJ,0,0,normal
0,tcp,http,SF,234,6282,normal
0,icmp,eco_i,SF,8,0,ipsweep
0,tcp,http,SF,54540,8314,back
0,tcp,http,SF,237,1461,normal
0,tcp,ftp_data,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,200,955,normal
0,tcp,http,SF,219,657,normal
0,tcp,http,SF,284,5921,normal
0,tcp,nntp,S0,0,0,neptune
0,tcp,http,SF,325,426,normal
0,tcp,courier,S0,0,0,neptune
0,icmp,eco_i,SF,30,0,normal
0,tcp,http,SF,335,7902,normal
0,udp,domain_u,SF,36,0,normal
0,tcp,private,S0,0,0,neptune
0,udp,domain_u,SF,43,43,normal
0,tcp,courier,S0,0,0,neptune
0,tcp,http,REJ,0,0,normal
0,tcp,private,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,216,1956,normal
0,tcp,uucp,S0,0,0,neptune
0,udp,domain_u,SF,44,78,normal
0,tcp,http,SF,347,8113,normal
1,tcp,smtp,SF,570,280,normal
0,tcp,http,SF,219,17540,normal
0,udp,other,SF,146,0,normal
0,tcp,ftp,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
31401,tcp,private,RSTR,1,0,portsweep
0,tcp,private,S0,0,0,neptune
0,icmp,eco_i,SF,18,0,ipsweep
0,tcp,time,SF,0,4,normal
0,tcp,http,SF,233,581,normal
0,tcp,finger,S0,0,0,neptune
0,tcp,ftp_data,SF,276,0,normal
0,udp,domain_u,SF,44,139,normal
0,icmp,eco_i,SF,8,0,ipsweep
7805,tcp,telnet,SF,1828,148722,normal
0,tcp,http,SF,200,764,normal
0,udp,domain_u,SF,46,46,normal
0,tcp,private,S0,0,0,neptune
0,tcp,telnet,S0,0,0,neptune
0,tcp,http,SF,216,5284,normal
0,tcp,exec,RSTO,0,0,neptune
0,tcp,http,SF,234,997,normal
0,tcp,http,SF,220,1643,normal
0,tcp,login,S0,0,0,neptune
0,udp,private,SF,105,146,normal
0,tcp,http,REJ,0,0,normal
0,tcp,Z39_50,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,288,2881,normal
0,tcp,uucp,RSTO,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,udp,private,SF,1,0,satan
0,udp,private,SF,28,0,teardrop
0,tcp,http,SF,279,494,normal
0,icmp,ecr_i,SF,1032,0,smurf
0,tcp,ftp_data,SF,192,0,normal
7,tcp,telnet,SF,105,1401,normal
0,tcp,private,REJ,0,0,ipsweep
10,tcp,smtp,SF,1330,282,normal
0,icmp,ecr_i,SF,520,0,smurf
0,tcp,ftp_data,S0,0,0,neptune
0,tcp,http,SF,230,362,normal
0,udp,domain_u,SF,44,110,normal
0,tcp,http,SF,271,3582,normal
0,tcp,http,SF,179,1668,normal
0,tcp,ftp_data,SF,852,0,normal
0,tcp,http,SF,222,310,normal
0,tcp,http,SF,314,4137,normal
0,tcp,login,RSTO,0,0,neptune
0,tcp,http,SF,230,6880,normal
0,tcp,whois,S0,0,0,neptune
0,tcp,ctf,S0,0,0,neptune
0,tcp,smtp,SF,857,327,normal
0,tcp,http,SF,234,1707,normal
0,icmp,ecr_i,SF,1032,0,smurf
0,udp,private,SF,28,0,teardrop
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,215,6367,normal
0,udp,domain_u,SF,46,46,normal
0,udp,private,SF,105,146,normal
0,tcp,private,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,csnet_ns,S0,0,0,neptune
0,tcp,http,SF,305,2507,normal
0,tcp,private,REJ,0,0,neptune
0,tcp,http,SF,336,15767,normal
0,tcp,csnet_ns,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
5784,udp,other,SF,147,105,normal
0,tcp,http,SF,335,1212,normal
0,tcp,telnet,S0,0,0,neptune
0,tcp,http,SF,339,241,normal
0,tcp,http,SF,317,3245,normal
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,54540,8314,back
0,tcp,vmnet,S0,0,0,neptune
0,udp,domain_u,SF,42,131,normal
0,tcp,smtp,SF,986,368,normal
0,tcp,private,S0,0,0,neptune
0,icmp,urp_i,SF,183,0,normal
0,tcp,private,REJ,0,0,neptune
0,tcp,http,SF,405,23786,normal
0,tcp,link,S0,0,0,neptune
0,tcp,smtp,SF,785,327,normal
0,tcp,http,SF,258,4302,normal
0,tcp,login,S0,0,0,neptune
0,icmp,eco_i,SF,8,0,ipsweep
0,tcp,http,SF,318,2649,normal
0,tcp,private,REJ,0,0,neptune
0,tcp,ssh,S0,0,0,neptune
0,tcp,time,S0,0,0,neptune
0,tcp,http,SF,216,1240,normal
1,tcp,private,RSTR,0,0,portsweep
0,tcp,http,SF,291,320,normal
0,tcp,http,SF,224,546,normal
0,tcp,ftp_data,REJ,0,0,satan
0,tcp,domain,S0,0,0,neptune
542,udp,domain_u,SF,17,42,normal
0,tcp,private,S0,0,0,neptune
0,udp,domain_u,SF,29,29,normal
0,udp,private,SF,105,147,normal
0,icmp,eco_i,SF,30,0,normal
0,tcp,http,SF,325,12884,normal
0,tcp,login,S0,0,0,neptune
0,tcp,http,REJ,0,0,normal
0,tcp,ftp_data,SF,12,0,normal
0,tcp,http,SF,212,828,normal
0,tcp,http,SF,240,1475,normal
0,tcp,http,SF,292,13206,normal
0,tcp,http,SF,172,12793,normal
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,310,788,normal
0,udp,domain_u,SF,44,128,normal
0,udp,other,SF,145,0,normal
1,tcp,ftp,SF,1238,2451,warezclient
0,icmp,eco_i,SF,8,0,ipsweep
0,udp,domain_u,SF,45,45,normal
0,tcp,private,RSTR,0,0,portsweep
2,tcp,smtp,SF,1551,362,normal
4,tcp,smtp,SF,1308,328,normal
0,tcp,http,SF,356,1125,normal
0,tcp,http,SF,364,6914,normal
0,tcp,http,SF,331,776,normal
0,icmp,eco_i,SF,30,0,normal
0,tcp,private,S0,0,0,neptune
0,tcp,exec,S0,0,0,neptune
0,tcp,http,SF,247,7546,normal
0,tcp,http,SF,300,1841,normal
0,tcp,mtp,S0,0,0,neptune
0,tcp,http,SF,355,2109,normal
0,tcp,finger,S0,0,0,neptune
0,tcp,http,SF,316,1260,normal
0,udp,domain_u,SF,44,136,normal
30,tcp,ftp,SF,1458,4152,normal
0,tcp,uucp_path,S0,0,0,neptune
10455,udp,other,SF,146,105,normal
0,tcp,private,RSTR,0,0,portsweep
0,tcp,Z39_50,REJ,0,0,neptune
0,udp,private,SF,1,0,satan
0,tcp,telnet,S0,0,0,neptune
0,tcp,imap4,S0,0,0,neptune
10326,udp,other,SF,146,105,normal
0,tcp,private,S0,0,0,neptune
0,tcp,smtp,RSTO,13794,2966,normal
0,tcp,finger,S0,0,0,neptune
0,tcp,smtp,SF,911,325,normal
0,tcp,smtp,S0,0,0,neptune
0,tcp,http,SF,280,3332,normal
0,tcp,daytime,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,udp,domain_u,SF,41,41,normal
0,tcp,finger,SF,10,139,normal
0,tcp,http,SF,311,488,normal
0,tcp,http,SF,281,1745,normal
0,tcp,http,SF,297,1285,normal
0,tcp,ldap,S0,0,0,neptune
0,udp,domain_u,SF,43,72,normal
0,tcp,finger,S0,0,0,neptune
0,tcp,ftp_data,SF,334,0,warezclient
0,icmp,eco_i,SF,8,0,ipsweep
0,tcp,http,SF,215,9399,normal
0,tcp,Z39_50,S0,0,0,neptune
0,tcp,http,REJ,0,0,normal
0,udp,other,SF,516,4,normal
0,tcp,private,REJ,0,0,ipsweep
0,tcp,bgp,S0,0,0,neptune
0,tcp,private,REJ,0,0,neptune
0,tcp,time,S0,0,0,neptune
28,udp,domain_u,SF,44,44,normal
0,tcp,time,RSTO,0,0,neptune
0,tcp,smtp,SF,676,328,normal
0,tcp,http,SF,334,455,normal
0,tcp,private,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,204,1596,normal
0,icmp,ecr_i,SF,520,0,smurf
0,tcp,Z39_50,S0,0,0,neptune
0,tcp,http,SF,192,301,normal
0,icmp,eco_i,SF,18,0,ipsweep
0,tcp,uucp,S0,0,0,neptune
0,tcp,netbios_dgm,S0,0,0,neptune
0,tcp,ftp,S0,0,0,neptune
0,tcp,http,SF,256,4486,normal
0,icmp,eco_i,SF,64,0,normal
0,udp,domain_u,SF,46,136,normal
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,220,253,normal
0,udp,domain_u,SF,41,117,normal
0,tcp,http,SF,248,2313,normal
0,tcp,ftp,SF,1250,2451,warezclient
0,tcp,whois,REJ,0,0,neptune
0,udp,domain_u,SF,44,70,normal
202,tcp,telnet,SF,209,1824,normal
0,tcp,other,SF,5891,0,normal
0,icmp,eco_i,SF,8,0,ipsweep
0,tcp,http,SF,276,1767,normal
0,tcp,http,SF,231,2304,normal
0,tcp,http,S0,0,0,neptune
0,tcp,http,SF,312,422,normal
41285,tcp,remote_job,RSTR,1,0,portsweep
0,tcp,discard,S0,0,0,neptune
0,udp,domain_u,SF,29,0,normal
0,tcp,ftp_data,SF,13239,0,normal
0,tcp,ftp_data,S0,0,0,neptune
0,tcp,finger,SF,8,223,normal
0,tcp,shell,S0,0,0,neptune
0,udp,domain_u,SF,44,79,normal
0,tcp,private,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,324,10647,normal
0,tcp,private,S0,0,0,neptune
0,icmp,eco_i,SF,18,0,ipsweep
0,tcp,http,SF,355,657,normal
13488,tcp,other,RSTR,1,0,portsweep
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,54540,8314,back
0,tcp,http,SF,205,253,normal
0,tcp,netbios_ns,REJ,0,0,neptune
0,tcp,http,SF,325,753,normal
0,tcp,systat,REJ,0,0,neptune
0,tcp,http,SF,232,193,normal
4,tcp,smtp,SF,886,326,normal
0,tcp,http,SF,319,3432,normal
0,tcp,supdup,S0,0,0,neptune
0,tcp,private,REJ,0,0,ipsweep
0,tcp,http,SF,147,12141,normal
1,tcp,smtp,SF,1451,330,normal
0,tcp,http,SF,54540,8314,back
0,tcp,http,SF,235,1889,normal
25,tcp,private,RSTR,0,0,portsweep
0,tcp,private,REJ,0,0,portsweep
0,tcp,http,SF,299,1540,normal
0,tcp,private,S0,0,0,neptune
0,tcp,kshell,S0,0,0,neptune
0,tcp,hostnames,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,237,241,normal
0,tcp,uucp,RSTO,0,0,neptune
3047,udp,other,SF,146,105,normal
0,tcp,csnet_ns,REJ,0,0,portsweep
1327,udp,other,SF,146,105,normal
0,tcp,http,SF,202,1923,normal
0,tcp,echo,S0,0,0,neptune
0,tcp,ftp_data,SF,383,0,normal
0,tcp,http,SF,345,2254,normal
0,tcp,http,SF,278,6546,normal
0,tcp,domain,S0,0,0,neptune
0,tcp,http,SF,196,16143,normal
0,tcp,klogin,S0,0,0,neptune
0,tcp,http,SF,277,2253,normal
0,tcp,http,SF,203,578,normal
0,tcp,private,RSTR,0,0,portsweep
860,udp,other,SF,147,105,normal
0,tcp,finger,S0,0,0,neptune
0,tcp,ftp,S0,0,0,neptune
0,tcp,ctf,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,367,5199,normal
0,tcp,ssh,S0,0,0,portsweep
0,tcp,http,SF,257,23051,normal
0,icmp,eco_i,SF,8,0,ipsweep
0,udp,domain_u,SF,44,44,normal
0,udp,domain_u,SF,128,44,normal
0,tcp,http,SF,254,523,normal
0,tcp,http,SF,225,22996,normal
0,tcp,smtp,SF,775,331,normal
475,tcp,http,SF,314,266,normal
0,tcp,supdup,S0,0,0,neptune
8,tcp,smtp,SF,525,335,normal
0,tcp,other,REJ,0,0,satan
0,udp,other,SF,1,0,satan
0,tcp,http,SF,213,37327,normal
0,tcp,http,SF,190,8654,normal
0,tcp,private,S0,0,0,neptune
0,udp,private,SF,28,0,teardrop
0,tcp,iso_tsap,REJ,0,0,neptune
27,tcp,ftp,SF,1067,3081,normal
0,udp,domain_u,SF,126,44,normal
0,tcp,http,SF,333,2547,normal
0,tcp,netbios_ns,S0,0,0,neptune
0,tcp,ftp_data,SF,4491,0,normal
0,tcp,ldap,REJ,0,0,neptune
0,tcp,http,SF,54540,8314,back
0,tcp,http,SF,239,255,normal
0,tcp,http,REJ,0,0,normal
2,tcp,smtp,SF,1258,359,normal
0,tcp,telnet,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,http,REJ,0,0,normal
0,udp,domain_u,SF,42,65,normal
0,tcp,http,SF,224,1270,normal
0,tcp,http,SF,231,3215,normal
5065,udp,other,SF,147,105,normal
0,udp,domain_u,SF,44,72,normal
0,icmp,urp_i,SF,183,0,normal
0,tcp,auth,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,telnet,RSTO,125,179,guess_passwd
